match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version
3857283,2022-11-27,15:00:00.000,0,2,available,available,2023-02-28T21:26:37.636261,2023-06-21T18:29:02.259940,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,782,Belgium,male,F,22,Belgium,788,Morocco,male,F,154,Morocco,10,Group Stage,1000838,Al Thumama Stadium,185,Qatar,740.0,César Arturo Ramos Palazuelos,147.0,Mexico,Roberto Martínez Montoliú,Walid Regragui,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,1000518,Walid Regragui,,1975-09-23,154,Morocco,1.1.0,2,2
3857284,2022-11-23,15:00:00.000,1,2,available,available,2023-03-18T22:38:08.361625,2023-04-27T00:40:34.335400,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,770,Germany,male,E,85,Germany,778,Japan,male,E,114,Japan,10,Group Stage,1000253,Sheikh Khalifa International Stadium,185,Qatar,1834.0,Ivan Arcides Barton Cisneros,67.0,El Salvador,Hans-Dieter Flick,Hajime Moriyasu,3371,Hans-Dieter Flick,,1965-02-24,85,Germany,5699,Hajime Moriyasu,,1968-08-23,114,Japan,1.1.0,2,2
3857282,2022-11-21,21:00:00.000,1,1,available,available,2023-07-25T08:22:55.740949,2023-07-25T09:10:59.976019,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,1839,United States,male,B,241,United States of America,907,Wales,male,B,249,Wales,10,Group Stage,1000793,Ahmad bin Ali Stadium,185,Qatar,2521.0,Abdulrahman Ibrahim Al Jassim,185.0,Qatar,Gregg Berhalter,Robert Page,93,Gregg Berhalter,,1973-08-01,241,United States of America,1000471,Robert Page,,1974-09-03,249,Wales,1.1.0,2,2
3857286,2022-11-20,18:00:00.000,0,2,available,available,2023-07-25T07:10:18.861818,2023-07-25T07:19:21.209321,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,3566,Qatar,male,A,185,Qatar,3565,Ecuador,male,A,65,Ecuador,10,Group Stage,1001113,Al Bayt Stadium,185,Qatar,269.0,Daniele Orsato,112.0,Italy,Félix Sánchez Bas,Gustavo Julio Alfaro,5710,Félix Sánchez Bas,Félix Sánchez,1975-12-13,214,Spain,2881,Gustavo Julio Alfaro,Gustavo Alfaro,1962-08-14,11,Argentina,1.1.0,2,2
3857301,2022-11-25,15:00:00.000,1,3,available,available,2023-04-11T14:46:12.121219,2023-04-27T00:33:06.325512,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,3566,Qatar,male,A,185,Qatar,787,Senegal,male,A,202,Senegal,10,Group Stage,1000838,Al Thumama Stadium,185,Qatar,180.0,Antonio Miguel Mateu Lahoz,214.0,Spain,Félix Sánchez Bas,Aliou Cissé,5710,Félix Sánchez Bas,Félix Sánchez,1975-12-13,214,Spain,635,Aliou Cissé,,1976-03-24,202,Senegal,1.1.0,2,2
3857300,2022-11-22,12:00:00.000,1,2,available,available,2023-06-18T15:28:07.620153,2023-06-19T15:59:46.628887,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,779,Argentina,male,C,11,Argentina,799,Saudi Arabia,male,C,200,Saudi Arabia,10,Group Stage,1001114,Lusail Stadium,185,Qatar,943.0,Slavko Vinčić,208.0,Slovenia,Lionel Sebastián Scaloni,Hervé Renard,5677,Lionel Sebastián Scaloni,,1978-05-16,11,Argentina,642,Hervé Renard,,1968-09-30,78,France,1.1.0,2,2
3857299,2022-11-28,15:00:00.000,2,3,available,available,2023-03-17T21:51:17.645596,2023-06-19T12:37:02.364850,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,791,South Korea,male,H,121,Korea (South),4885,Ghana,male,H,86,Ghana,10,Group Stage,94425,Education City Stadium ,185,Qatar,8.0,Anthony Taylor,68.0,England,Paulo Jorge Gomes Bento,Otto Addo,5688,Paulo Jorge Gomes Bento,Paulo Bento,1969-06-20,183,Portugal,1001251,Otto Addo,,1975-06-09,86,Ghana,1.1.0,2,2
3857298,2022-11-24,18:00:00.000,3,2,available,available,2023-02-07T11:31:35.781677,2023-04-27T00:36:17.036958,1,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,780,Portugal,male,H,183,Portugal,4885,Ghana,male,H,86,Ghana,10,Group Stage,1001115,Stadium 974,185,Qatar,438.0,Ismail Elfath,241.0,United States of America,Fernando Manuel Fernandes da Costa Santos,Otto Addo,607,Fernando Manuel Fernandes da Costa Santos,Fernando Santos,1954-10-10,183,Portugal,1001251,Otto Addo,,1975-06-09,86,Ghana,1.1.0,2,2
3857297,2022-11-26,15:00:00.000,2,0,available,available,2023-02-20T08:54:08.741754,2023-04-27T00:19:40.857571,2,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,789,Poland,male,C,182,Poland,799,Saudi Arabia,male,C,200,Saudi Arabia,10,Group Stage,94425,Education City Stadium ,185,Qatar,986.0,Wilton Pereira Sampaio,31.0,Brazil,Czesław Michniewicz,Hervé Renard,5294,Czesław Michniewicz,,1970-02-12,182,Poland,642,Hervé Renard,,1968-09-30,78,France,1.1.0,2,2
3857296,2022-12-01,17:00:00.000,0,0,available,available,2023-03-18T22:39:25.997468,2023-05-30T17:12:46.707170,3,43,International,FIFA World Cup,International - FIFA World Cup,106,2022,785,Croatia,male,F,56,Croatia,782,Belgium,male,F,22,Belgium,10,Group Stage,1000793,Ahmad bin Ali Stadium,185,Qatar,8.0,Anthony Taylor,68.0,England,Zlatko Dalić,Roberto Martínez Montoliú,307,Zlatko Dalić,,1966-10-26,56,Croatia,263,Roberto Martínez Montoliú,Roberto Martínez,1973-07-13,214,Spain,1.1.0,2,2
